Box,Id,Type,Title,Author,Author2,Date,Location,Nb,People,Geo
4,337,Letters,Carta del 23 de octubre de 1860 de Vicente Pérez Rosales a su amigo Mauricio Barbosa,"Pérez Rosales, Vicente",,1860/10/23,Chile;Octava Región;Concepción,1,"Barbosa, Mauricio",
4,338,Notes,Nota Nº 393 de Juan Avello al Comandante de Armas de Arauco,"Avello, Juan",,1860/10/24,Chile;Octava Región;Santa Juana,1,,Arauco
4,339,Letters,Carta del 24 de octubre de 1860 de Manuel García a su amigo Mauricio Barbosa,"García, Manuel",,1860/10/24,Chile;Región Metropolitana;Santiago,1,"Barbosa, Mauricio",
4,340,Letters,Carta del 11 de noviembre de 1872 de Carlos Masido a Mauricio Barbosa,"Masido, Carlos",,1872/11/11,Chile;Pelelo?,1,"Barbosa, Mauricio",
4,341,Letters,Carta firmada por Manuel Montt,"Montt, Manuel",,[Siglo XIX],,1,,
4,342,Notes,Nota Nº 177 de Vicente Villalón al Comandante del Batallón 5º de línea,"Villalón, Vicente",,1860/10/24,Chile;Octava Región;Ángeles,1,,
4,343,Notes,Nota Nº 178 de Vicente Villalón al Comandante de Armas del departamento de Arauco,"Villalón, Vicente",,1860/10/25,Chile;Octava Región;Ángeles,2,,Arauco
4,344,Notes,Nota de Vicente Villalón al Comandante de Armas de Arauco,"Villalón, Vicente",,1860/10/25,Chile;Octava Región;Ángeles,1,,Arauco
4,345,Letters,Carta del 25 de octubre de 1860 de Vicente Villallón a su amigo Mauricio Barbosa,"Villalón, Vicente",,1860/10/25,Chile;Octava Región;Ángeles,1,"Barbosa, Mauricio",
4,346,Letters,Carta del 25 de octubre de 1860 de José Sepúlveda al Coronel Mauricio Barbosa,"Sepúlveda, José",,1860/10/25,Chile;Octava Región;Nacimiento,1,"Barbosa, Mauricio",
4,347,Letters,Carta del 26 de octubre de 1860 de Manuel García a Mauricio Barbosa,"García, Manuel",,1860/10/26,Chile;Región Metropolitana;Santiago,1,"Barbosa, Mauricio",
4,348,Notes,Nota N° 399 de Juan Avello al Comandante de Armas del Departamento de Arauco,"Avello, Juan",,1860/10/26,Chile;Octava Región;Santa Juana,1,,Arauco
4,349,Letters,Carta del 26 de octubre de 1860 de E. Boonen a su amigo Mauricio Barbosa,"Boonen, E?",,1860/10/26,Chile;Octava Región;Coronel,1,"Barbosa, Mauricio",
